channel_id,channel_name,channel_country,url,video_title,video_views,upload_date
deutschewelleenglish,DW News,unknown,/watch?v=lQezkYBhfdc,Covid-19 vaccine development sparks political controversy in India | Coronavirus update,243 k vues,il y a 3 mois
scishow,SciShow,unknown,/watch?v=DcdZQHD4MJE,How to Make a COVID-19 Vaccine,142 k vues,il y a 5 mois
AlJazeeraEnglish,Al Jazeera English,unknown,/watch?v=9pkpVxwgCHg,COVID-19 vaccine is 90 percent effective: Pfizer and BioNTech,"5,1 k vues",il y a 1 semaine
AlJazeeraEnglish,Al Jazeera English,unknown,/watch?v=Lsu7k4UDgxQ,COVID-19 vaccine: Hopes Pfizer drug could be in use by year-end,"4,5 k vues",il y a 1 semaine
bbcnews,BBC News,unknown,/watch?v=lNvbV6saQT0,Covid vaccine: what does the Pfizer vaccine news mean? - BBC News,39 k vues,il y a 1 semaine
scishow,SciShow,unknown,/watch?v=BSudTSzeNg0,What's the Deal with Pfizer's COVID-19 Vaccine? | SciShow News,135 k vues,il y a 1 jour
CBSThisMorning,CBS This Morning,unknown,/watch?v=cHrrAMdFJUs,"Pfizer, Moderna coronavirus vaccine trials ""give us hope,"" as COVID-19 cases rise, doctor says",93 k vues,il y a 6 jours
MEDCRAMvideos,MedCram - Medical Lectures Explained CLEARLY,unknown,/watch?v=_jwBxZMWrng,Coronavirus Update 116: Pfizer COVID 19 Vaccine Explained (Biontech),182 k vues,il y a 1 semaine
UCu4OHd94MHqjlMp_Mgks84w,"F. Perry Wilson, MD",US,/watch?v=huFLxbBw9OM,Pfizer Vaccine Efficacy Explained - Coronavirus News,497 vues,il y a 4 jours
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,US,/watch?v=3yRsIL7s5eU,Pfizer CEO on Covid-19 vaccine efficacy: 'It is a great day for humanity',70 k vues,il y a 1 semaine
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,US,/watch?v=mMrJSllDoPc,"Pfizer, BioNTech announce Covid-19 vaccine candidate is 90% effective",385 k vues,il y a 1 semaine
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,US,/watch?v=W9Xb61Ik7no,Pfizer: Full vaccine results indicate its Covid-19 vaccine is 95% effective,57 k vues,il y a 4 jours
NBCNews,NBC News,unknown,/watch?v=t84forHo6r0,Pfizer Covid-19 Vaccine Enters FDA Approval Process | NBC Nightly News,118 k vues,il y a 15 heures
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,US,/watch?v=EdVB0oy0oXw,Former FDA chief scientist on Pfizer Covid-19 vaccine,"6,3 k vues",il y a 1 semaine
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,US,/watch?v=B6UXyP9Ff58,"Pfizer, BioNTech Covid-19 vaccines granted FDA fast track status","8,2 k vues",il y a 4 mois
NBCNews,NBC News,unknown,/watch?v=N24HANNhXq8,Secretary Of Health Azar Says Pfizer Submitting Covid Vaccine For Emergency FDA Approval Friday,21 k vues,il y a 2 jours
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,US,/watch?v=OPmzvJi9CSM,Pfizer CEO is planning to submit Covid-19 vaccine to FDA by end of October,"9,9 k vues",il y a 2 mois
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,US,/watch?v=aBcokz5fBN0,Pfizer and BioNTech to request emergency authorization from FDA for Covid-19 vaccine,"3,5 k vues",il y a 2 jours
CBSNewsOnline,CBS News,unknown,/watch?v=I2p-VDlzAqU,Pfizer seeks FDA's emergency approval for COVID vaccine as U.S. breaks records,13 k vues,il y a 1 jour
NBCNews,NBC News,unknown,/watch?v=z3jQ2Vjk7jE,Pfizer Says Covid-19 Vaccine Is 95 Percent Effective | NBC Nightly News,113 k vues,il y a 3 jours
UCH1oRy1dINbMVp3UFWrKP0w,Good Morning America,US,/watch?v=wsOsIsge90E,Pfizer and BioNTech asking for emergency authorization for COVID-19 vaccine | GMA,28 k vues,il y a 23 heures
UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,US,/watch?v=6Cvh5WE2jp0,Poll: 1 in 5 Americans would refuse COVID-19 vaccine,973 vues,il y a 5 mois
